lambda_idx,t_1_ms,t_2_ms
0,15.443,16.114
1,15.701,16.119
2,15.408,15.975
3,15.249,15.612
4,15.363,15.836
5,15.224,15.647
6,15.010,15.612
7,15.055,15.448
8,15.308,15.657
9,16.507,16.801
10,15.900,16.393
11,15.557,16.030
12,16.219,16.557
13,15.473,15.900
14,15.393,15.821
15,15.741,15.995
16,15.030,15.607
17,15.562,15.905
18,15.453,15.940
19,14.597,15.139
20,15.667,16.204
21,15.706,16.259
22,14.896,15.507
23,15.274,15.677
24,15.229,15.781
25,14.751,15.318
26,15.697,16.254
27,15.169,15.652
28,14.701,15.060
29,14.786,15.318
30,15.313,15.622
31,15.493,15.821
32,16.139,16.532
33,14.567,14.806
34,15.129,15.701
35,15.458,15.851
36,14.522,15.035
37,15.771,16.343
38,15.423,15.886
39,15.527,16.035
40,14.502,15.119
41,14.468,14.736
42,15.080,15.403
43,15.363,15.876
44,15.303,15.706
45,15.517,15.781
46,15.045,15.488
47,14.925,15.398
48,15.622,15.995
49,15.841,16.398
50,14.657,15.174
51,15.488,15.920
52,15.706,16.020
53,15.209,15.706
54,14.791,15.159
55,15.453,15.900
56,15.711,15.995
57,15.224,15.701
58,14.721,15.269
59,14.746,14.970
60,16.015,16.562
61,15.473,15.886
62,15.328,15.711
63,14.915,15.219
64,15.532,15.935
65,14.945,15.378
66,14.517,15.020
67,14.448,15.000
68,15.587,15.980
69,14.328,14.697
70,14.677,15.174
71,14.965,15.458
72,15.015,15.582
73,14.756,15.139
74,15.572,16.189
75,14.960,15.358
76,14.731,15.045
77,15.289,15.781
78,14.592,15.129
79,14.706,15.353
80,15.174,15.592
81,15.328,15.751
82,15.905,16.363
83,14.537,14.950
84,15.323,15.692
85,15.453,15.915
86,14.672,15.114
87,15.264,15.522
88,15.587,16.000
89,14.801,15.219
90,14.721,15.090
91,15.264,15.592
92,14.443,15.085
93,15.388,15.915
94,14.786,15.254
95,15.060,15.662
96,15.149,15.507
97,14.896,15.378
98,14.930,15.473
99,15.174,15.761
100,14.308,14.811
101,14.542,15.025
102,15.100,15.458
103,14.557,15.040
104,14.209,14.567
105,14.239,14.891
106,14.965,15.348
107,14.896,15.299
108,15.119,15.662
109,13.970,14.413
110,14.721,15.139
111,15.269,15.746
112,15.562,15.920
113,15.139,15.662
114,15.289,15.950
115,15.249,15.652
116,15.388,15.796
117,14.672,15.124
118,15.065,15.652
119,14.642,15.104
120,15.393,15.896
121,14.980,15.403
122,15.557,15.741
123,14.323,14.721
124,14.219,14.562
125,14.647,15.179
126,14.741,15.219
127,15.035,15.577
128,14.816,15.284
129,14.035,14.552
130,15.259,15.831
131,14.303,14.786
132,14.060,14.756
133,15.095,15.537
134,15.050,15.577
135,15.318,15.781
136,15.323,15.697
137,14.706,15.050
138,14.229,14.637
139,15.318,15.836
140,15.264,15.612
141,14.826,15.164
142,14.388,14.970
143,14.562,15.139
144,15.114,15.532
145,15.239,15.577
146,15.323,15.920
147,15.010,15.522
148,15.134,15.602
149,14.134,14.572
150,15.373,15.706
151,15.219,15.876
152,14.995,15.527
153,15.100,15.607
154,14.055,14.498
155,15.035,15.353
156,14.856,15.373
157,15.527,15.682
158,16.129,16.393
159,13.408,13.841
160,14.577,15.085
161,15.373,15.662
162,14.577,15.030
163,15.010,15.542
164,14.537,14.995
165,15.154,15.721
166,14.413,14.990
167,14.697,15.294
168,14.388,14.940
169,15.070,15.567
170,15.537,16.134
171,15.154,15.408
172,15.731,16.104
173,14.791,15.144
174,15.030,15.438
175,15.109,15.572
176,14.930,15.398
177,14.945,15.572
178,14.662,15.055
179,14.652,15.164
180,14.831,15.299
181,13.662,14.169
182,14.010,14.343
183,15.040,15.637
184,14.856,15.323
185,13.866,14.478
186,15.726,15.970
187,14.905,15.129
188,15.751,16.174
189,15.403,15.846
190,14.378,14.706
191,15.751,15.980
192,16.124,16.438
193,14.930,15.577
194,15.353,15.801
195,15.244,15.547
196,15.463,15.826
197,14.318,14.731
198,15.229,15.692
199,14.612,15.209
200,15.970,16.547
201,15.224,15.692
202,14.786,15.428
203,14.612,15.045
204,14.930,15.259
205,14.876,15.343
206,14.169,14.706
207,14.612,15.085
208,14.398,15.050
209,14.896,15.512
210,14.109,14.652
211,14.806,15.184
212,14.493,14.856
213,14.617,15.010
214,14.647,15.104
215,15.109,15.577
216,14.711,15.139
217,14.403,14.731
218,14.100,14.577
219,14.905,15.318
220,14.313,14.731
221,14.478,14.910
222,13.960,14.323
223,14.741,15.144
224,14.801,15.333
225,14.254,14.697
226,14.627,14.955
227,14.348,14.896
228,13.930,14.627
229,14.602,15.134
230,14.701,15.224
231,14.697,15.194
232,15.473,15.896
233,15.129,15.557
234,14.741,15.343
235,14.741,15.005
236,14.647,15.045
237,14.428,14.886
238,13.935,14.627
239,14.811,15.308
240,14.831,15.443
241,15.090,15.483
242,14.826,15.488
243,14.851,15.333
244,14.935,15.557
245,14.866,15.144
246,15.398,15.816
247,15.413,15.881
248,14.836,15.179
249,14.801,15.060
250,14.637,14.980
251,14.423,14.816
252,14.428,14.955
253,14.781,15.303
254,14.965,15.234
255,14.602,15.109
256,14.433,14.980
257,14.303,14.771
258,14.303,14.846
259,14.403,14.905
260,14.090,14.637
261,14.318,14.766
262,14.930,15.408
263,14.572,15.234
264,14.483,14.886
265,15.289,15.796
266,15.100,15.667
267,14.836,15.214
268,14.438,14.856
269,14.701,15.239
270,15.279,15.741
271,15.249,15.597
272,14.821,15.239
273,14.771,15.154
274,15.413,15.975
275,14.816,15.308
276,14.458,14.776
277,14.836,15.189
278,14.428,14.791
279,15.055,15.328
280,14.741,15.413
281,14.900,15.259
282,15.229,15.721
283,14.771,15.184
284,14.692,15.114
285,15.174,15.587
286,15.239,15.716
287,14.199,14.821
288,14.970,15.403
289,15.507,15.930
290,14.736,15.109
291,14.483,14.925
292,14.766,15.299
293,14.736,15.030
294,14.896,15.303
295,15.557,16.010
296,15.249,15.687
297,14.955,15.388
298,14.950,15.368
299,14.204,14.861
300,14.851,15.209
301,14.637,15.219
302,15.000,15.602
303,14.995,15.219
304,14.955,15.254
305,15.398,15.801
306,15.438,15.955
307,14.035,14.333
308,15.194,15.701
309,14.527,15.035
310,15.199,15.711
311,14.687,15.194
312,15.274,15.766
313,15.498,15.905
314,15.363,15.851
315,14.876,15.408
316,15.383,15.891
317,15.209,15.637
318,14.756,15.229
319,14.970,15.468
320,15.114,15.662
321,14.736,15.249
322,15.184,15.542
323,15.035,15.453
324,14.408,14.761
325,14.612,15.055
326,14.930,15.383
327,14.284,14.736
328,14.701,15.264
329,15.199,15.552
330,14.716,15.159
331,15.055,15.637
332,14.736,15.269
333,15.204,15.587
334,15.025,15.408
335,15.065,15.363
336,14.557,15.020
337,14.975,15.398
338,15.731,16.348
339,14.095,14.448
340,15.363,15.940
341,15.403,15.871
342,14.900,15.070
343,14.975,15.502
344,14.751,15.353
345,14.617,15.209
346,15.269,15.622
347,14.647,15.254
348,14.716,15.303
349,14.269,14.896
350,14.204,14.498
351,15.363,15.701
352,14.876,15.408
353,14.692,15.109
354,15.338,15.836
355,15.194,15.607
356,14.488,14.940
357,14.886,15.423
358,14.169,14.846
359,14.771,15.209
360,15.483,15.771
361,15.284,15.896
362,14.642,15.164
363,15.289,15.647
364,14.667,15.313
365,14.154,14.667
366,14.786,15.423
367,14.114,14.731
368,14.567,15.085
369,14.507,14.970
370,15.085,15.706
371,15.050,15.463
372,15.458,15.876
373,14.483,15.010
374,15.269,15.766
375,14.995,15.418
376,14.562,15.139
377,15.463,15.856
378,14.378,14.935
379,14.950,15.383
380,15.020,15.522
381,15.164,15.517
382,15.025,15.343
383,15.632,16.045
384,14.791,15.239
385,15.055,15.597
386,15.343,15.667
387,14.886,15.114
388,15.179,15.542
389,14.657,15.199
390,14.975,15.353
391,14.945,15.453
392,15.308,15.716
393,16.448,16.995
394,15.428,15.861
395,14.512,14.706
396,14.478,14.985
397,14.597,15.005
398,14.567,15.040
399,15.279,15.836
400,14.781,15.234
401,14.990,15.303
402,14.856,15.274
403,15.965,16.557
404,14.881,15.244
405,14.383,14.846
406,14.284,14.766
407,15.085,15.433
