lambda_idx,t_100.0_ms
0,15.124
1,15.322
2,15.531
3,15.463
4,16.117
5,16.131
6,14.986
7,15.731
8,15.980
9,15.716
10,15.695
11,16.209
12,15.410
13,15.540
14,15.996
15,15.565
16,15.981
17,15.821
18,15.825
19,15.798
20,15.597
21,16.066
22,16.502
23,15.326
24,15.535
25,16.382
26,15.724
27,15.884
28,16.776
29,16.305
30,16.088
31,15.416
32,16.135
33,15.122
34,16.728
35,15.723
36,15.926
37,15.483
38,15.951
39,15.529
40,16.315
41,16.017
42,15.942
43,15.404
44,16.208
45,15.813
46,15.865
47,15.170
48,15.897
49,15.952
50,15.924
51,15.349
52,15.471
53,15.790
54,15.827
55,15.944
56,15.216
57,16.002
58,16.419
59,15.817
60,15.386
61,15.921
62,15.895
63,15.974
64,16.296
65,15.979
66,16.337
67,16.136
68,15.949
69,16.047
70,16.046
71,15.282
72,15.559
73,16.220
74,15.676
75,15.948
76,15.909
77,15.823
78,16.999
79,15.523
80,15.468
81,16.300
82,15.347
83,16.135
84,15.705
85,15.165
86,15.245
87,16.613
88,15.096
89,16.272
90,15.397
91,15.990
92,15.900
93,16.419
94,15.800
95,15.715
96,15.647
97,15.607
98,15.433
99,15.531
100,16.216
101,16.199
102,16.356
103,16.592
104,16.580
105,16.031
106,16.998
107,17.109
108,16.943
109,17.517
110,16.720
111,16.763
112,17.000
113,16.483
114,16.620
115,17.211
116,15.964
117,16.161
118,16.380
119,15.733
120,15.448
121,15.758
122,15.814
123,15.798
124,15.970
125,15.871
126,15.825
127,16.117
128,15.941
129,15.910
130,15.721
131,16.265
132,15.527
133,16.846
134,16.250
135,15.881
136,15.862
137,16.041
138,16.069
139,16.390
140,15.983
141,15.884
142,16.586
143,15.526
144,16.598
145,15.824
146,16.605
147,15.986
148,15.880
149,16.149
150,15.945
151,16.162
152,15.670
153,15.956
154,16.307
155,15.933
156,16.248
157,15.725
158,15.483
159,15.964
160,15.307
161,15.503
162,15.975
163,15.892
164,15.676
165,16.035
166,15.356
167,16.173
168,15.643
169,16.110
170,15.649
171,16.242
172,15.770
173,15.898
174,16.278
175,15.456
176,16.060
177,15.528
178,16.395
179,15.603
180,16.445
181,15.512
182,16.512
183,16.326
184,15.373
185,16.263
186,15.907
187,16.857
188,15.702
189,16.015
190,15.668
191,16.759
192,16.731
193,16.075
194,15.890
195,16.070
196,16.253
197,15.678
198,15.699
199,15.577
200,16.552
