lambda_idx,t_1_ms,t_2_ms,t_3_ms,t_4_ms
0,15.003,22.344,27.478,30.837
1,15.268,22.507,27.613,31.019
2,15.444,22.564,27.807,31.235
3,15.298,22.501,27.728,31.074
4,16.028,23.058,28.344,31.815
5,16.055,23.281,28.521,31.881
6,14.972,22.008,27.240,30.708
7,15.660,22.733,27.881,31.196
8,15.933,23.014,28.113,31.544
9,15.734,22.759,27.817,31.040
10,15.621,22.867,28.052,31.358
11,16.100,23.238,28.344,31.821
12,15.318,22.560,27.787,31.099
13,15.507,22.633,27.828,31.239
14,15.905,23.017,28.191,31.533
15,15.533,22.672,27.912,31.355
16,15.925,23.094,28.300,31.602
17,15.813,23.116,28.151,31.581
18,15.705,22.892,27.994,31.324
19,15.784,22.869,27.835,31.191
20,15.569,22.591,27.472,30.929
21,15.974,23.141,28.072,31.399
22,16.409,23.545,28.710,32.102
23,15.272,22.398,27.542,31.015
24,15.470,22.574,27.833,31.295
25,16.303,23.471,28.681,32.121
26,15.721,22.875,27.985,31.371
27,15.962,22.974,28.307,31.800
28,16.692,23.809,29.070,32.358
29,16.314,23.382,28.447,31.682
30,16.080,23.259,28.403,31.797
31,15.391,22.423,27.592,31.000
32,16.079,23.303,28.500,31.773
33,15.130,22.383,27.626,31.057
34,16.574,23.847,29.007,32.428
35,15.674,22.888,28.129,31.515
36,15.874,23.043,28.216,31.475
37,15.506,22.594,27.800,30.973
38,15.900,23.077,28.187,31.525
39,15.523,22.579,27.774,31.194
40,16.271,23.306,28.560,31.869
41,15.937,23.074,28.196,31.409
42,15.919,23.023,28.461,31.789
43,15.370,22.558,27.684,30.908
44,16.169,23.219,28.481,31.748
45,15.763,22.894,28.106,31.520
46,15.776,22.898,28.084,31.458
47,15.176,22.240,27.526,30.767
48,15.858,22.920,28.063,31.483
49,15.876,22.972,28.147,31.486
50,15.925,22.975,28.222,31.559
51,15.293,22.411,27.533,30.872
52,15.452,22.597,27.720,31.004
