lambda_idx,t_1_ms
0,10786.000
1,10812.000
2,10871.000
3,10787.000
4,10863.000
5,10740.000
6,10767.000
7,10771.000
8,10764.000
9,11182.000
10,10982.000
11,10918.000
12,11049.000
13,10866.000
14,10749.000
15,10850.000
16,10747.000
17,10807.000
18,10770.000
19,10630.000
20,10941.000
21,10950.000
22,10638.000
23,10653.000
24,10879.000
25,10600.000
26,10913.000
27,10669.000
28,10519.000
29,10630.000
30,10829.000
31,10861.000
32,10994.000
33,10468.000
34,10687.000
35,10809.000
36,10430.000
37,10903.000
38,10866.000
39,10911.000
40,10519.000
41,10580.000
42,10750.000
43,10781.000
44,10811.000
45,10797.000
46,10731.000
47,10517.000
48,10736.000
49,10889.000
50,10592.000
51,10774.000
52,10919.000
53,10708.000
54,10607.000
55,10731.000
56,10805.000
57,10766.000
58,10413.000
59,10466.000
60,10936.000
61,10763.000
62,10689.000
63,10570.000
64,10737.000
65,10552.000
66,10448.000
67,10352.000
68,10713.000
69,10479.000
70,10514.000
71,10648.000
72,10571.000
73,10558.000
74,10931.000
75,10675.000
76,10420.000
77,10679.000
78,10538.000
79,10571.000
80,10617.000
81,10785.000
82,10947.000
83,10452.000
84,10653.000
85,10684.000
86,10503.000
87,10656.000
88,10803.000
89,10571.000
90,10397.000
91,10676.000
92,10408.000
93,10700.000
94,10560.000
95,10769.000
96,10841.000
97,10567.000
98,10653.000
99,10754.000
100,10354.000
101,10438.000
102,10587.000
103,10379.000
104,10260.000
105,10314.000
106,10598.000
107,10528.000
108,10622.000
109,10165.000
110,10567.000
111,10653.000
112,10704.000
113,10629.000
114,10680.000
115,10769.000
116,10755.000
117,10316.000
118,10641.000
119,10551.000
120,10706.000
121,10735.000
122,10752.000
123,10280.000
124,10405.000
125,10546.000
126,10595.000
127,10637.000
128,10410.000
129,10451.000
130,10687.000
131,10341.000
132,10338.000
133,10643.000
134,10566.000
135,10796.000
136,10607.000
137,10450.000
138,10330.000
139,10807.000
140,10731.000
141,10477.000
142,10413.000
143,10363.000
144,10529.000
145,10590.000
146,10670.000
147,10581.000
148,10651.000
149,10361.000
150,10707.000
151,10585.000
152,10625.000
153,10607.000
154,10324.000
155,10556.000
156,10547.000
157,10705.000
158,10934.000
159,9963.000
160,10378.000
161,10700.000
162,10362.000
163,10716.000
164,10415.000
165,10591.000
166,10438.000
167,10466.000
168,10344.000
169,10636.000
170,10808.000
171,10557.000
172,10707.000
173,10574.000
174,10427.000
175,10629.000
176,10520.000
177,10609.000
178,10484.000
179,10435.000
180,10553.000
181,10138.000
182,10183.000
183,10706.000
184,10415.000
185,10245.000
186,10841.000
187,10416.000
188,10870.000
189,10789.000
190,10376.000
191,10737.000
192,10915.000
193,10607.000
194,10759.000
195,10549.000
196,10645.000
197,10420.000
198,10693.000
199,10464.000
200,10880.000
201,10588.000
202,10391.000
203,10385.000
204,10424.000
205,10546.000
206,10253.000
207,10429.000
208,10430.000
209,10638.000
210,10281.000
211,10483.000
212,10380.000
213,10572.000
214,10399.000
215,10502.000
216,10484.000
217,10370.000
218,10333.000
219,10638.000
220,10324.000
221,10423.000
222,10145.000
223,10378.000
224,10410.000
225,10472.000
226,10496.000
227,10342.000
228,10225.000
229,10395.000
230,10366.000
231,10414.000
232,10692.000
233,10679.000
234,10489.000
235,10307.000
236,10437.000
237,10267.000
238,10240.000
239,10592.000
240,10523.000
241,10485.000
242,10444.000
243,10452.000
244,10398.000
245,10322.000
246,10717.000
247,10618.000
248,10447.000
249,10453.000
250,10412.000
251,10399.000
252,10372.000
253,10490.000
254,10476.000
255,10401.000
256,10301.000
257,10213.000
258,10364.000
259,10257.000
260,10304.000
261,10295.000
262,10638.000
263,10404.000
264,10305.000
265,10693.000
266,10649.000
267,10523.000
268,10254.000
269,10416.000
270,10546.000
271,10563.000
272,10475.000
273,10576.000
274,10870.000
275,10428.000
276,10218.000
277,10558.000
278,10271.000
279,10535.000
280,10578.000
281,10494.000
282,10613.000
283,10510.000
284,10364.000
285,10575.000
286,10693.000
287,10144.000
288,10513.000
289,10652.000
290,10395.000
291,10378.000
292,10568.000
293,10442.000
294,10529.000
295,10764.000
296,10570.000
297,10461.000
298,10421.000
299,10243.000
300,10427.000
301,10354.000
302,10410.000
303,10510.000
304,10277.000
305,10636.000
306,10719.000
307,10166.000
308,10504.000
309,10392.000
310,10702.000
311,10422.000
312,10535.000
313,10766.000
314,10680.000
315,10675.000
316,10693.000
317,10607.000
318,10509.000
319,10505.000
320,10499.000
321,10459.000
322,10565.000
323,10673.000
324,10342.000
325,10588.000
326,10588.000
327,10278.000
328,10556.000
329,10630.000
330,10437.000
331,10473.000
332,10432.000
333,10513.000
334,10587.000
335,10441.000
336,10472.000
337,10550.000
338,10851.000
339,10243.000
340,10598.000
341,10788.000
342,10541.000
343,10531.000
344,10382.000
345,10365.000
346,10530.000
347,10460.000
348,10459.000
349,10188.000
350,10213.000
351,10663.000
352,10419.000
353,10387.000
354,10661.000
355,10660.000
356,10304.000
357,10489.000
358,10369.000
359,10440.000
360,10677.000
361,10692.000
362,10494.000
363,10539.000
364,10347.000
365,10214.000
366,10459.000
367,10363.000
368,10302.000
369,10321.000
370,10551.000
371,10537.000
372,10707.000
373,10517.000
374,10680.000
375,10469.000
376,10567.000
377,10612.000
378,10457.000
379,10522.000
380,10476.000
381,10515.000
382,10569.000
383,10670.000
384,10443.000
385,10544.000
386,10701.000
387,10383.000
388,10518.000
389,10498.000
390,10509.000
391,10494.000
392,10619.000
393,11057.000
394,10633.000
395,10317.000
396,10368.000
397,10245.000
398,10256.000
399,10539.000
